,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,mount gambier,90,AU,1567556803,100,-37.83,140.78,50.0,11.41
389,manaus,40,BR,1567557037,69,-3.13,-59.98,82.4,8.05
390,nicoya,40,CR,1567557038,83,10.15,-85.45,77.0,8.05
391,kodiak,1,US,1567557039,78,39.95,-94.76,86.0,4.7
392,aksha,97,RU,1567557040,91,50.28,113.29,60.34,4.63
393,coldwater,1,US,1567556969,78,41.94,-85.0,75.2,6.93
394,bilma,0,NE,1567557043,16,18.69,12.92,93.64,3.96
395,serpa,0,PT,1567556889,46,37.94,-7.6,73.4,6.93
396,kenai,75,US,1567557046,72,60.55,-151.26,63.0,10.29
397,viedma,91,AR,1567557047,61,-40.81,-62.99,40.18,20.42
398,tomohon,20,ID,1567557048,65,1.33,124.84,80.6,8.05
399,tigzirt,0,DZ,1567557050,83,36.57,4.2,65.74,1.7
400,darhan,99,MN,1567557051,93,49.49,105.92,57.1,4.72
401,damphu,100,BT,1567557053,88,27.07,90.11,64.3,4.83
402,mogadishu,40,SO,1567556760,74,2.04,45.34,78.8,18.34
403,forestville,75,CA,1567557055,76,48.74,-69.09,50.0,3.36
404,hofn,14,IS,1567557200,81,64.25,-15.21,30.28,13.04
405,hof,1,DE,1567557201,93,50.32,11.92,55.0,2.33
406,barinitas,65,VE,1567557202,96,8.76,-70.41,53.5,2.39
407,berlevag,0,NO,1567557204,73,70.86,29.09,51.52,20.13
408,lompoc,1,US,1567557206,72,34.64,-120.46,87.01,11.41
409,palestine,1,US,1567557207,43,31.76,-95.63,93.2,5.82
410,trapani,20,IT,1567557208,88,38.02,12.54,77.0,9.17
411,xining,27,CN,1567557210,78,36.62,101.77,52.42,1.81
412,mozarlandia,0,BR,1567557211,23,-14.74,-50.57,80.5,0.36
413,ternuvate,0,UA,1567557212,68,47.83,36.13,66.2,4.47
414,illintsi,97,UA,1567557213,87,49.11,29.2,53.86,14.72
415,soyo,46,AO,1567557215,85,-6.13,12.37,72.58,12.62
416,ambulu,17,ID,1567557216,88,-8.35,113.61,69.88,4.52
417,komsomolskiy,93,RU,1567557218,83,67.55,63.78,45.94,6.11
418,paamiut,100,GL,1567557219,96,61.99,-49.67,44.5,23.35
419,narasannapeta,100,IN,1567557220,91,18.42,84.04,77.44,4.05
420,port-gentil,75,GA,1567557222,88,-0.72,8.78,77.0,11.41
421,yarmouth,20,CA,1567557097,93,43.84,-66.12,62.01,6.93
422,bar harbor,20,US,1567557225,93,44.39,-68.2,62.01,5.82
423,santa cruz,10,BR,1567557220,78,-6.22,-36.02,70.24,14.16
424,katsuura,75,JP,1567557228,88,33.93,134.5,86.0,2.24
425,airai,6,TL,1567557229,43,-8.93,125.41,78.34,0.81
426,birao,100,CF,1567557230,94,10.3,22.78,73.48,6.15
427,savalou,48,BJ,1567557232,95,7.93,1.98,73.84,1.99
428,sampit,21,ID,1567557233,82,-2.54,112.95,76.54,3.27
429,necochea,46,AR,1567557234,69,-38.55,-58.74,44.01,17.0
430,liverpool,40,GB,1567557170,93,53.41,-2.98,62.6,8.05
431,laela,46,TZ,1567557237,80,-8.57,32.05,55.66,2.82
432,tomatlan,44,MX,1567557238,76,19.93,-105.25,84.64,17.94
433,samana,75,EC,1567557240,88,0.12,-76.97,78.8,3.36
434,talara,0,PE,1567557242,93,-4.58,-81.27,62.5,10.45
435,benghazi,0,LY,1567557244,70,32.12,20.07,80.32,9.48
436,nakama,75,JP,1567557245,88,33.82,130.71,81.0,4.7
437,voyvozh,20,RU,1567557247,91,62.89,54.96,43.06,2.42
438,puerto baquerizo moreno,75,EC,1567557248,88,-0.9,-89.6,71.6,10.29
439,ponta delgada,75,PT,1567557063,77,37.73,-25.67,71.01,11.41
440,carutapera,63,BR,1567557251,81,-1.2,-46.02,78.34,7.4
441,ayan,0,IR,1567557252,70,38.23,44.7,51.7,3.33
442,high rock,100,BS,1567557253,74,26.63,-78.28,83.74,35.72
443,cockburn town,20,TC,1567557049,74,21.46,-71.14,84.2,13.87
444,yar-sale,98,RU,1567557256,90,66.83,70.83,48.46,7.07
445,swan river,43,CA,1567557257,71,52.11,-101.27,55.48,7.45
446,wajid,88,SO,1567557259,64,3.81,43.25,74.92,17.67
447,taltal,50,CL,1567557170,79,-25.41,-70.49,50.26,1.97
448,zambezi,0,ZM,1567557261,33,-13.55,23.12,68.62,7.54
449,ust-omchug,14,RU,1567557263,54,61.13,149.63,53.14,4.76
450,behbahan,0,IR,1567557264,18,30.59,50.24,80.6,14.12
451,santiago del estero,0,AR,1567557265,57,-27.8,-64.26,47.2,2.51
452,bundaberg,2,AU,1567557267,25,-24.87,152.35,84.0,6.93
453,petersburg,1,US,1567557268,69,37.23,-77.4,81.0,6.93
454,adrar,20,DZ,1567557269,29,27.87,-0.29,91.4,11.41
455,saint-francois,0,FR,1567557271,71,46.42,3.91,51.8,2.24
456,ciudad bolivar,64,VE,1567557272,76,8.12,-63.55,80.86,6.31
457,miri,100,NG,1567557273,86,10.31,9.75,72.04,4.52
458,udachnyy,40,RU,1567557275,93,66.42,112.4,41.0,4.03
459,sao luis de montes belos,8,BR,1567557276,28,-16.52,-50.37,77.08,0.65
460,labuhan,0,ID,1567557277,52,-2.54,115.51,76.0,0.27
461,mount isa,100,AU,1567557279,16,-20.73,139.49,78.8,9.17
462,laguna,20,BZ,1567557039,70,16.17,-88.94,86.0,4.7
463,fairbanks,75,US,1567557281,52,64.84,-147.72,66.2,14.99
464,mandiana,100,GN,1567557283,96,10.62,-8.7,72.04,4.85
465,balabac,89,PH,1567557284,77,7.99,117.06,83.38,9.08
466,san isidro,75,CR,1567557285,94,10.02,-84.06,71.6,1.12
467,parati,20,BR,1567557287,65,-20.51,-54.63,77.0,5.82
468,zhuhai,0,CN,1567557288,51,40.71,112.04,62.6,4.47
469,morada nova,69,BR,1567557289,76,-5.1,-38.37,75.28,7.45
470,hovd,75,NO,1567557291,81,63.83,10.7,53.01,11.41
471,nyurba,100,RU,1567557140,98,63.29,118.35,45.04,3.44
472,sibolga,100,ID,1567557293,88,1.74,98.78,77.8,4.76
473,borgo san dalmazzo,5,IT,1567557295,61,44.33,7.49,77.0,10.29
474,kirakira,76,SB,1567557296,85,-10.46,161.92,79.96,16.91
475,camargo,50,MX,1567557298,27,27.69,-105.17,85.54,13.31
476,sassandra,48,CI,1567557299,98,4.95,-6.09,72.76,2.21
477,yarada,75,IN,1567557300,94,17.65,83.27,78.8,2.24
478,pangnirtung,100,CA,1567557302,64,66.15,-65.72,40.54,6.71
479,pokhara,100,NP,1567557303,94,28.21,83.99,57.1,0.98
480,naze,100,NG,1567557305,96,5.43,7.07,74.38,4.47
481,mendoza,0,AR,1567557265,36,-32.89,-68.84,46.4,2.24
482,perth,40,AU,1567557174,58,-31.95,115.86,59.0,17.22
483,timizart,0,DZ,1567557308,73,36.8,4.25,75.82,13.27
484,port-cartier,20,CA,1567557310,93,50.03,-66.88,44.6,2.24
485,thinadhoo,29,MV,1567557225,76,0.53,72.93,82.84,9.8
486,maniitsoq,100,GL,1567557312,97,65.42,-52.9,43.42,17.47
487,ola,0,RU,1567557314,82,59.58,151.3,51.88,4.23
488,fare,16,PF,1567557315,85,-16.7,-151.02,77.26,19.42
489,comodoro rivadavia,40,AR,1567557317,48,-45.87,-67.48,41.0,12.75
490,banning,1,US,1567557205,32,33.93,-116.88,105.01,10.29
491,phan thiet,88,VN,1567557319,88,10.93,108.1,74.56,5.99
492,skjervoy,80,NO,1567557320,73,70.03,20.97,51.52,6.98
493,nizhnyaya tavda,17,RU,1567557322,95,57.67,66.17,41.98,3.53
494,roermond,75,NL,1567557323,72,51.19,5.99,63.0,3.36
495,wilhelmshaven,75,DE,1567557036,82,53.53,8.11,61.0,5.82
496,banyo,95,CM,1567557326,96,6.75,11.81,63.22,2.55
497,ondjiva,0,AO,1567557327,15,-17.07,15.73,63.4,5.53
498,mariental,75,BR,1567557329,93,-25.72,-49.65,57.0,8.05
499,north branch,75,US,1567557330,59,45.51,-92.98,68.0,14.99
500,amapa,75,HN,1567557331,70,15.09,-87.97,86.0,13.87
501,chauk,81,MM,1567557332,97,20.89,94.82,74.38,6.08
502,vyazemskiy,21,RU,1567557334,73,47.53,134.76,67.36,5.5
503,preeceville,34,CA,1567557335,65,51.95,-102.67,62.68,5.35
504,axim,33,GH,1567557337,92,4.87,-2.24,75.28,5.93
505,cabedelo,40,BR,1567557338,88,-6.97,-34.84,73.4,3.36
506,salalah,90,OM,1567557340,100,17.01,54.1,78.8,4.7
507,talaya,20,RU,1567557341,93,55.79,84.89,46.4,4.47
508,tazovskiy,100,RU,1567557126,99,67.47,78.7,43.06,3.38
509,betlitsa,0,RU,1567557344,94,54.01,33.96,58.36,3.49
510,urengoy,100,RU,1567557345,94,65.96,78.37,48.1,5.93
511,awjilah,0,LY,1567557346,49,29.14,21.3,79.06,13.94
512,luz,74,BR,1567557348,32,-19.79,-45.68,79.96,3.74
513,ust-kuyga,98,RU,1567557349,51,70.0,135.55,54.76,2.01
514,mudgee,0,AU,1567557350,28,-32.6,149.59,73.99,5.82
515,ambanja,18,MG,1567557352,68,-13.68,48.45,78.34,5.86
516,port hedland,0,AU,1567557353,94,-20.31,118.58,68.0,6.93
517,kurtamysh,0,RU,1567557355,87,54.91,64.43,42.16,5.93
518,dungarpur,87,IN,1567557356,96,23.85,73.71,76.0,4.34
519,manturovo,0,RU,1567557357,85,58.33,44.76,45.94,1.59
520,bria,100,CF,1567557359,97,6.54,21.99,69.7,3.42
521,seymchan,66,RU,1567557360,40,62.93,152.39,58.18,8.19
522,maunabo,40,PR,1567557361,74,18.01,-65.9,84.2,8.05
523,namibe,28,AO,1567557363,84,-15.19,12.15,64.3,8.66
524,los llanos de aridane,5,ES,1567557364,56,28.66,-17.92,71.6,5.82
525,hokitika,100,NZ,1567557366,61,-42.72,170.96,54.94,8.01
526,shingu,40,JP,1567557367,70,33.72,135.99,84.2,2.24
527,slave lake,1,CA,1567557318,60,55.28,-114.77,69.8,3.36
528,araouane,55,ML,1567557370,22,18.9,-3.53,99.76,12.01
529,koutsouras,0,GR,1567557371,41,35.03,25.95,79.0,7.0
530,umea,96,SE,1567557372,93,63.83,20.26,51.8,3.36
531,marquette,90,US,1567557374,82,46.54,-87.4,59.0,11.41
532,nenjiang,92,CN,1567557375,92,49.17,125.23,64.48,6.78
533,dunkirk,40,FR,1567557239,87,51.03,2.38,59.0,8.05
534,athabasca,0,CA,1567557377,50,54.72,-113.29,70.42,2.39
535,bambanglipuro,49,ID,1567557379,84,-7.95,110.28,72.04,6.82
536,broken hill,0,AU,1567557381,26,-31.97,141.45,71.6,11.41
537,micheweni,14,TZ,1567557382,80,-4.97,39.83,77.26,12.19
538,waingapu,65,ID,1567557383,72,-9.65,120.26,73.84,11.65
539,kawalu,100,ID,1567557385,85,-7.38,108.21,66.46,3.69
540,brits,0,ZA,1567557360,43,-25.63,27.78,57.0,3.36
541,independence,20,US,1567557387,66,39.09,-94.42,88.0,5.82
542,musoma,74,TZ,1567557388,69,-1.5,33.81,75.46,5.39
543,sakata,75,JP,1567557390,78,38.92,139.93,75.2,5.82
544,grand-santi,99,GF,1567557391,73,4.27,-54.38,78.7,1.12
545,lichinga,26,MZ,1567557392,60,-13.3,35.25,68.98,5.03
546,dombas,0,NO,1567557394,89,62.07,9.12,31.72,3.96
547,ilovlya,0,RU,1567557395,76,49.31,43.98,53.6,2.24
548,nantucket,1,US,1567557359,88,41.28,-70.1,66.99,4.7
549,san policarpo,99,PH,1567557398,74,12.18,125.51,81.76,3.65
550,adiake,40,CI,1567557399,94,5.29,-3.3,77.0,5.82
551,manchester,90,US,1567557145,77,43.0,-71.45,69.01,4.7
552,virginia beach,75,US,1567557199,88,36.85,-75.98,78.8,4.7
553,srikakulam,100,IN,1567557403,89,18.29,83.89,77.8,3.09
554,saquisili,20,EC,1567557404,71,-0.83,-78.67,51.8,17.22
555,quatre cocos,75,MU,1567557160,78,-20.21,57.76,71.6,2.24
556,saint-joseph,0,FR,1567557407,77,43.56,6.97,77.0,3.36
557,ramsi,49,EE,1567557408,87,58.31,25.54,50.0,2.24
558,lokosovo,90,RU,1567557409,94,61.13,74.84,47.92,5.97
559,manacor,40,ES,1567557411,83,39.57,3.21,73.0,2.24
560,erdenet,89,MN,1567557412,92,49.03,104.04,55.84,2.91
561,kota belud,75,MY,1567557414,65,6.35,116.43,82.0,5.82
562,tura,100,RU,1567557415,88,64.27,100.22,49.18,5.75
